#binTreeSearch
#N	T[ms]		Stdev[ms]	Samples
1000	0.714580	1.276813	#50.000000
2000	1.449156	2.590742	#50.000000
3000	2.242408	3.184599	#50.000000
4000	2.624028	1.135072	#50.000000
5000	3.402638	4.428216	#50.000000
6000	3.340014	0.300024	#50.000000
7000	4.512148	2.078062	#50.000000
8000	6.982396	6.881461	#50.000000
9000	7.572580	7.628396	#50.000000
10000	12.690612	22.215646	#50.000000
